Origin,Destination,Time (min)
117021326,119041375,11.82
117021326,120031394,6.35
117021327,117021326,7.37
117021327,117031332,7.17
117021327,120021388,9.13
117021327,120031394,6.92
117021328,117011322,11.55
117021328,117021326,6.67
117021328,117031330,7.3
117021328,117031332,12.88
117021328,119041375,7.83
117031329,117031333,6.45
117031329,117031336,8.17
117031329,117031337,10.7
117031329,118011345,8.02
117031330,117011322,8.95
117031330,117021328,6.6
117031330,117031332,9.88
117031330,117031335,8.5
117031330,117031338,5.92
117031331,117031332,7.9
117031331,117031334,8.02
117031331,120021388,9.55
117031332,117021326,12.07
117031332,117021327,6.27
117031332,117021328,11.45
117031332,117031330,8.53
117031332,117031331,8.92
117031332,117031335,7.85
117031332,120021388,10.42
117031333,117031329,7.73
117031333,117031337,11.83
117031333,118011343,12.72
117031333,118011345,14.13
117031334,117031331,5.8
117031334,117031335,10.32
117031334,117031337,12.82
117031335,117031330,8.53
117031335,117031332,9.15
117031335,117031334,11.3
117031335,117031336,8.18
117031335,117031337,14.25
117031335,117031338,8.77
117031335,118011345,13.42
117031336,117031329,7.33
117031336,117031335,7.55
117031336,117031337,13.68
117031336,118011345,8.83
117031337,117031329,8.7
117031337,117031333,10.52
117031337,117031334,9.38
117031337,117031335,12.5
117031337,117031336,10.27
117031338,117011322,6.85
117031338,117031330,5.87
117031338,117031335,7.28
117031338,118011345,13.8
118011339,118011340,8.57
118011339,118011341,5.97
118011339,118011343,11.07
118011339,118021348,9.95
118011340,118011339,8.4
118011340,118011343,8.8
118011340,118011344,5.2
118011340,118011346,8.52
118011341,118011339,7.48
118011341,118011343,10.53
118011341,118011347,6.67
118011341,118021348,11.17
118011343,117031333,12.22
118011343,118011339,10.7
118011343,118011340,9.25
118011343,118011341,10.33
118011343,118011345,11.48
118011343,118011346,10.52
118011343,118011347,5.98
118011344,118011340,4.97
118011344,118011346,4.6
118011345,117031329,7.88
118011345,117031333,13.62
118011345,117031335,10.87
118011345,117031336,6.3
118011345,117031338,10.67
118011345,118011343,13.08
118011345,118011347,8.52
118011346,118011340,9.07
118011346,118011343,10.45
118011346,118011344,4.62
118011347,118011341,6.45
118011347,118011343,5.5
118011347,118011345,7.43
118021348,118011339,8.38
118021348,118011341,10.33
118021350,117011320,12.23
118021350,117011323,9.88
118021350,117011324,9.7
119011354,119011356,8.93
119011354,119011361,7.57
119011354,125031479,7.07
119011354,125031480,8.97
119011354,127021511,8.83
119011354,127021513,13.3
119011354,127031523,14.13
119011355,119011357,6.28
119011355,119011361,6.58
119011356,119011354,10.08
119011356,119011359,10.07
119011356,119011360,9.12
119011356,119011361,11.9
119011356,127031523,10.87
119011357,119011355,4.93
119011357,119021362,7.88
119011357,119021366,10.23
119011358,119011360,4.48
119011358,119021366,9.32
119011358,119031373,8.58
119011359,119011356,8.87
119011359,119011360,6.17
119011359,127031523,13.27
119011359,127031524,19.15
119011359,128021535,22.8
119011360,119011356,8.52
119011360,119011358,4.18
119011360,119011359,6.3
119011361,119011354,8.05
119011361,119011355,6.95
119011361,119011356,12.83
119011361,125031479,8.68
119021362,119011357,8.3
119021362,119021363,6.18
119021362,119021364,10.6
119021362,119021367,8.35
119021362,120031393,6.97
119021363,119021362,7.58
119021363,119021364,6.48
119021363,120031392,5.98
119021363,120031393,8.62
119021364,117021326,10.73
119021364,119021362,10.2
119021364,119021363,6.85
119021364,119021367,9.87
119021364,119031370,9.6
119021364,119041375,10.05
119021364,119041377,6.05
119021364,120031392,7.47
119021364,120031394,11.38
119021366,119011357,9.33
119021366,119011358,10.0
119021366,119021367,8.03
119021366,119031373,6.1
119021367,119021362,8.55
119021367,119021364,8.9
119021367,119021366,7.47
119021367,119031370,5.2
119021367,119031373,7.92
119031368,119031369,8.88
119031368,119031370,7.53
119031368,119031374,9.1
119031368,119041376,6.55
119031368,119041377,6.82
119031368,119041379,9.37
119031369,119031368,9.87
119031369,119031370,9.05
119031369,119031371,3.93
119031369,119031372,4.12
119031370,119021364,9.75
119031370,119021367,5.83
119031370,119031368,9.53
119031370,119031369,8.58
119031370,119031372,10.42
119031370,119031373,5.83
119031370,119041377,9.22
119031371,119031369,3.85
119031371,119031374,7.05
119031372,119031369,4.25
119031372,119031370,11.25
119031372,119031373,7.47
119031373,119011358,9.4
119031373,119021366,6.08
119031373,119021367,8.42
119031373,119031370,6.28
119031373,119031372,7.83
119031374,119031368,9.7
119031374,119031371,6.75
119031374,119041379,5.25
119031374,128011531,8.47
119041375,117021326,11.27
119041375,117021328,8.23
119041375,119021364,10.77
119041375,119041376,8.87
119041375,119041377,9.67
119041375,119041380,9.32
119041375,119041381,6.17
119041376,119031368,6.33
119041376,119041375,9.2
119041376,119041377,4.45
119041376,119041378,8.02
119041376,119041379,7.18
119041376,119041381,7.82
119041377,119021364,6.35
119041377,119031368,7.43
119041377,119031370,8.52
119041377,119041375,9.6
119041377,119041376,4.93
119041378,119041376,8.88
119041378,119041379,4.62
119041378,119041380,5.27
119041378,119041381,7.47
119041378,119041382,6.32
119041379,119031368,8.03
119041379,119031374,5.98
119041379,119041376,7.72
119041379,119041378,6.7
119041379,119041382,8.07
119041380,119041375,9.97
119041380,119041378,5.0
119041380,119041381,4.8
119041380,119041382,7.48
119041381,119041375,6.07
119041381,119041376,7.13
119041381,119041378,5.85
119041381,119041380,4.8
119041382,119041378,9.33
119041382,119041379,7.02
119041382,119041380,8.38
120011383,120011384,5.42
120011383,120011386,7.8
120011383,120031391,9.02
120011384,120011383,5.35
120011384,120031396,8.62
120011384,125011473,10.92
120011385,120011386,5.68
120011386,120011383,7.72
120011386,120011385,5.78
120011386,120031390,12.27
120011386,120031391,7.77
120011386,120031395,9.3
120021387,120021389,8.33
120021388,117021327,7.15
120021388,117031331,9.32
120021388,117031332,10.67
120021388,120021389,6.55
120021388,120031394,10.67
120021388,120031395,6.28
120021389,120021387,8.85
120021389,120021388,6.3
120021389,120031395,9.27
120031390,120011386,12.32
120031390,120031391,6.8
120031390,120031392,4.07
120031390,120031393,6.72
120031390,120031394,7.3
120031390,120031395,7.47
120031391,120011383,8.53
120031391,120011386,8.32
120031391,120031390,9.13
120031391,120031393,5.83
120031392,119021363,6.32
120031392,119021364,7.53
120031392,120031390,4.75
120031392,120031393,6.53
120031392,120031394,5.47
120031393,119021362,7.95
120031393,119021363,8.75
120031393,120031390,8.82
120031393,120031391,6.78
120031393,120031392,6.45
120031394,117021326,6.43
120031394,117021327,6.92
120031394,119021364,11.23
120031394,120021388,11.52
120031394,120031390,7.58
120031394,120031392,5.65
120031394,120031395,8.53
120031395,120011386,8.97
120031395,120021388,6.27
120031395,120021389,9.47
120031395,120031390,4.48
120031395,120031394,8.12
120031396,120011384,8.5
120031396,125011473,8.53
121011398,121011399,7.37
121011398,121011400,10.95
121011398,121011401,7.58
121011398,121011402,7.32
121011398,121031408,9.35
121011399,121011398,8.02
121011399,121011400,9.78
121011399,121031408,11.67
121011399,126021501,10.45
121011400,121011398,12.35
121011400,121011399,9.15
121011400,121011401,8.18
121011400,121041414,6.73
121011401,121011398,8.83
121011401,121011400,8.6
121011401,121011402,8.85
121011401,121041413,8.93
121011401,121041414,7.02
121011402,121011398,7.78
121011402,121011401,8.87
121011402,121031408,9.82
121011402,121041413,10.32
121021403,115021297,44.3
121021403,115021298,46.72
121021403,121021404,13.58
121021403,121031411,16.28
121021403,121031412,12.52
121021404,115021298,57.53
121021404,121021403,13.12
121021406,115021297,41.95
121021406,121031412,10.47
121021406,126011496,10.7
121031407,121031408,6.4
121031407,121031409,8.93
121031407,121031410,10.75
121031407,122031427,13.18
121031407,122031428,16.9
121031407,126021500,13.37
121031408,121011398,9.2
121031408,121011399,13.27
121031408,121011402,9.9
121031408,121031407,6.38
121031408,122031427,10.13
121031408,126021500,14.05
121031408,126021501,14.08
121031409,121031407,9.23
121031409,121031410,10.33
121031409,121031411,11.18
121031409,126021500,11.18
121031410,121031407,11.35
121031410,121031409,11.1
121031410,121031411,10.2
121031410,122031428,11.2
121031410,122031432,16.07
121031411,121021403,16.73
121031411,121031409,11.1
121031411,121031410,9.42
121031411,121031412,5.98
121031411,122031432,22.92
121031411,126011495,19.83
121031411,126011496,21.27
121031411,126021500,18.8
121031412,121021403,14.13
121031412,121021406,11.03
121031412,121031411,6.03
121031412,126011496,17.82
121041413,121011401,9.57
121041413,121011402,9.97
121041413,121041414,7.8
121041413,121041416,6.88
121041414,121011400,6.93
121041414,121011401,7.35
121041414,121041413,9.07
121041414,121041416,8.2
121041414,121041417,7.0
121041416,121041413,7.5
121041416,121041414,8.97
121041416,121041417,6.0
121041417,121041414,2.97
121041417,121041416,6.43
122021420,122021422,12.03
122021421,122021423,22.53
122021421,122031432,19.43
122021422,122021420,10.58
122021422,122021423,10.95
122021423,122021421,24.33
122021423,122021422,10.75
122031424,122031425,6.48
122031424,122031426,5.92
122031424,122031428,11.9
122031425,122031424,6.62
122031425,122031426,10.02
122031425,122031428,15.8
122031425,122031431,6.57
122031425,122031432,29.8
122031426,122031424,6.48
122031426,122031425,9.1
122031426,122031431,9.13
122031427,121031407,13.18
122031427,121031408,10.2
122031427,122031428,7.78
122031428,121031407,19.05
122031428,121031410,11.08
122031428,122031424,11.57
122031428,122031425,15.02
122031428,122031427,8.7
122031428,122031432,15.48
122031431,122031425,6.38
122031431,122031426,9.33
122031432,121031410,17.1
122031432,121031411,24.33
122031432,122021421,21.37
122031432,122031425,28.55
122031432,122031428,15.22
123011433,123011434,9.1
123011433,123011435,11.87
123011433,123031446,17.53
123011433,123031448,17.65
123011433,127011506,15.03
123011434,123011433,9.22
123011434,123011435,9.82
123011434,127011506,12.4
123011435,123011433,10.33
123011435,123011434,8.28
123011435,123021437,10.22
123011435,123021438,20.35
123011435,123021444,26.38
123011435,123031446,22.52
123011435,127011506,14.9
123021436,123021437,15.83
123021436,123021441,18.28
123021436,123021444,21.52
123021436,123031446,28.0
123021437,123011435,10.83
123021437,123021436,15.57
123021437,123021438,11.78
123021437,123021441,13.12
123021437,123021443,11.82
123021437,123021444,18.58
123021438,123011435,20.77
123021438,123021437,10.47
123021438,123021440,9.5
123021438,123021443,9.75
123021438,127011506,20.28
123021440,123021438,12.03
123021440,123021441,14.57
123021440,123021442,13.1
123021440,123021443,9.73
123021440,127011506,21.75
123021440,127031522,12.07
123021440,127031524,23.53
123021441,123021436,18.7
123021441,123021437,12.53
123021441,123021440,14.58
123021441,123021443,10.1
123021441,127031524,28.08
123021442,123021440,13.02
123021442,127031522,14.62
123021442,127031524,12.75
123021443,123021437,12.0
123021443,123021438,9.83
123021443,123021440,10.43
123021443,123021441,10.35
123021444,123011435,26.18
123021444,123021436,21.58
123021444,123021437,18.52
123021444,123031446,30.13
123031445,123031446,30.53
123031445,123031447,19.32
123031446,123011433,17.45
123031446,123011435,24.73
123031446,123021436,28.5
123031446,123021444,29.77
123031446,123031445,30.4
123031446,123031447,25.77
123031446,123031448,33.07
123031447,123031445,19.73
123031447,123031446,25.95
123031447,123031448,24.0
123031447,124021456,193.9
123031448,123011433,16.92
123031448,123031446,32.7
123031448,123031447,23.18
123031448,124021456,195.93
123031448,124031465,23.73
123031448,127011505,40.75
123031448,127011506,31.87
124011449,124011451,72.47
124011449,124011452,22.45
124011449,124021456,286.25
124011450,124011454,15.05
124011450,124021456,323.52
124011450,124031459,9.17
124011451,115031299,180.47
124011451,115031300,108.93
124011451,124011449,71.32
124011451,124011452,50.57
124011451,124011453,61.95
124011451,124011454,76.27
124011451,124011455,54.48
124011451,124041468,102.47
124011452,124011449,22.3
124011452,124011451,51.38
124011452,124011455,11.87
124011452,124021456,285.72
124011453,124011451,63.47
124011453,124011454,18.48
124011453,124011455,11.47
124011453,124021456,303.55
124011454,124011450,14.12
124011454,124011451,78.22
124011454,124011453,19.1
124011454,124021456,318.3
124011454,124031458,32.27
124011454,124031459,20.48
124011454,124041468,29.47
124011455,124011451,54.58
124011455,124011452,10.5
124011455,124011453,12.6
124011455,124021456,294.67
124021456,123031447,194.1
124021456,123031448,194.27
124021456,124011449,286.07
124021456,124011450,323.45
124021456,124011452,285.5
124021456,124011453,303.45
124021456,124011454,317.77
124021456,124011455,295.98
124021456,124031459,329.82
124021456,124031463,227.65
