SA1_7DIGITCODE_2016,SA2_MAINCODE_2016
1104405,102021044
1104406,102021044
1104407,102021044
1104408,102021044
1104409,102021044
1104410,102021044
1104411,102021044
1104412,102021044
1104414,102021044
1104415,102021044
1104416,102021044
1104417,102021044
1104418,102021044
1104419,102021044
1104420,102021044
1104421,102021044
1104422,102021044
1104423,102021044
1104424,102021044
1104425,102021044
1104426,102021044
1104427,102021044
1104428,102021044
1104429,102021044
1104430,102021044
1104431,102021044
1104432,102021044
1104433,102021044
1104434,102021044
1104435,102021044
1104436,102021044
1104437,102021044
1104438,102021044
1104439,102021044
1104440,102021044
1104441,102021044
1104442,102021044
1104443,102021044
1104444,102021044
1104445,102021044
1104446,102021044
1104447,102021044
1104448,102021044
1104449,102021044
1104450,102021044
1104451,102021044
1104452,102021044
1104453,102021044
1104454,102021044
1104455,102021044
1104456,102021044
1104457,102021044
1104458,102021044
1104459,102021044
1104501,102021045
1104502,102021045
1104503,102021045
1104504,102021045
1104505,102021045
1104506,102021045
1104507,102021045
1104508,102021045
1104509,102021045
1104510,102021045
1104511,102021045
1104512,102021045
1104513,102021045
1104514,102021045
1104515,102021045
1104516,102021045
1104517,102021045
1104518,102021045
1104519,102021045
1104521,102021045
1104522,102021045
1104523,102021045
1104524,102021045
1104601,102021046
1104602,102021046
1104603,102021046
1104604,102021046
1104605,102021046
1104606,102021046
1104607,102021046
1104608,102021046
1104609,102021046
1104610,102021046
1104611,102021046
1104612,102021046
1104614,102021046
1104615,102021046
1104616,102021046
1104617,102021046
1104618,102021046
1104619,102021046
1104620,102021046
1104621,102021046
1104622,102021046
1104623,102021046
1104624,102021046
1104625,102021046
1104701,102021047
1104702,102021047
1104703,102021047
1104704,102021047
1104705,102021047
1104706,102021047
1104707,102021047
1104708,102021047
1104709,102021047
1104710,102021047
1104711,102021047
1104712,102021047
1104713,102021047
1104714,102021047
1104715,102021047
1104716,102021047
1104717,102021047
1104718,102021047
1104719,102021047
1104720,102021047
1104721,102021047
1104722,102021047
1104723,102021047
1104724,102021047
1104725,102021047
1104726,102021047
1104727,102021047
1104728,102021047
1104729,102021047
1104730,102021047
1104731,102021047
1104732,102021047
1104733,102021047
1104734,102021047
1104735,102021047
1104736,102021047
1104737,102021047
1104801,102021048
1104802,102021048
1104803,102021048
1104804,102021048
1104805,102021048
1104806,102021048
1104807,102021048
1104808,102021048
1104809,102021048
1104810,102021048
1104811,102021048
1104812,102021048
1104813,102021048
1104814,102021048
1104815,102021048
1104816,102021048
1104817,102021048
1104818,102021048
1104819,102021048
1104820,102021048
1104821,102021048
1104822,102021048
1104823,102021048
1104824,102021048
1104825,102021048
1104826,102021048
1104827,102021048
1104828,102021048
1104829,102021048
1104830,102021048
1104831,102021048
1104832,102021048
1104833,102021048
1104834,102021048
1104835,102021048
1104836,102021048
1104837,102021048
1104838,102021048
1104840,102021048
1104841,102021048
1104842,102021048
1104843,102021048
1104844,102021048
