Origin,Destination,Time (min)
1100914,1100919,2.8283333330000002
1100915,1100816,3.708333333
1100915,1100914,3.1483333330000005
1100915,1100916,2.925
1100915,1100918,4.125
1100916,1100807,2.418333333
1100916,1100815,1.325
1100916,1100915,2.805
1100916,1100918,1.6833333330000002
1100916,1101219,1.6533333330000002
1100917,1100913,3.268333333
1100917,1100914,2.038333333
1100917,1100919,2.191666667
1100917,1101003,6.208333333
1100917,1101006,3.64
1100918,1100901,1.77
1100918,1100905,1.361666667
1100918,1100914,3.2
1100918,1100915,3.568333333
1100918,1100916,1.605
1100918,1100919,2.181666667
1100919,1100901,2.7149999999999994
1100919,1100914,3.67
1100919,1100917,3.121666667
1100919,1100918,2.298333333
1100919,1100920,1.3216666670000001
1100920,1100919,2.173333333
1100920,1100921,1.8866666669999999
1100921,1100901,1.221666667
1100921,1100907,2.156666667
1100921,1100920,1.86
1101001,1101008,3.345
1101001,1101009,3.4933333330000003
1101001,1101011,2.261666667
1101002,1100802,14.23833333
1101002,1100811,13.955
1101002,1100812,17.855
1101002,1100813,16.895
1101002,1100814,16.23333333
1101002,1101003,6.213333333
1101003,1100811,7.7416666670000005
1101003,1100913,7.233333332999999
1101003,1100917,4.426666667
1101003,1101002,4.355
1101003,1101006,3.056666667
1101003,1101015,2.865
1101004,1101009,4.976666667
1101006,1100917,2.78
1101006,1101003,3.43
1101006,1101007,1.881666667
1101006,1101008,2.38
1101006,1101015,0.953333333
1101007,1101006,1.5483333330000002
1101007,1101008,3.181666667
1101007,1101009,3.67
1101008,1101001,2.183333333
1101008,1101006,3.0266666669999998
1101008,1101007,2.645
1101008,1101010,1.725
1101008,1101011,3.058333333
1101009,1101001,4.528333333
1101009,1101004,5.621666667
1101009,1101007,4.65
1101009,1101011,5.403333333
1101009,1101014,7.448333333
1101010,1101008,1.6983333330000001
1101010,1101011,1.3433333330000001
1101011,1101001,2.093333333
1101011,1101008,3.056666667
1101011,1101009,4.4183333330000005
1101011,1101010,1.358333333
1101011,1101012,1.4216666669999998
1101011,1101014,5.955
1101012,1101011,1.2949999999999997
1101014,1101009,7.6566666670000005
1101014,1101011,7.235
1101014,1101119,7.325
1101015,1101003,2.8283333330000002
1101015,1101006,0.953333333
1101101,1101103,14.325
1101101,1101126,2.795
1101101,1101137,12.49166667
1101102,1101103,28.97166667
1101102,1101112,28.265
1101102,1101118,37.36666667
1101102,1101134,24.39
1101102,1101135,30.10833333
1101102,1101137,22.80833333
1101103,1101101,16.98833333
1101103,1101102,31.625
1101103,1101105,29.67666667
1101103,1101107,36.53666667
1101103,1101112,42.03333333
1101103,1101113,37.34166667
1101103,1101125,20.735
1101103,1101126,19.78333333
1101103,1101137,27.92166667
1101104,1101127,13.66333333
1101105,1101103,31.79833333
1101105,1101106,9.633333333
1101105,1101107,18.57166667
1101105,1101117,13.95
1101105,1101119,4.5883333330000005
1101105,1101128,14.28833333
1101106,1101105,7.743333333
1101106,1101107,17.94666667
1101106,1101117,13.325
1101107,1100708,80.81
1101107,1101103,41.81666667
1101107,1101105,23.59166667
1101107,1101106,24.78833333
1101107,1101113,53.29166667
1101107,1101116,55.19333333
1101107,1101117,28.115
1101108,1101116,23.84833333
1101109,1101110,44.68999999999999
1101109,1101111,12.97333333
1101109,1101116,88.525
1101109,1101117,56.94833333
1101110,1101109,44.40333333
1101110,1101111,41.31333333
1101110,1101129,36.57833333
1101111,1101109,13.63333333
1101111,1101110,42.36166667
1101111,1101117,43.975
1101111,1101129,21.81666667
1101112,1100709,48.80666667
1101112,1101102,28.17166667
1101112,1101103,39.17666667
1101112,1101113,42.68
1101112,1101118,36.23
1101113,1100708,66.83
1101113,1100709,19.89833333
1101113,1101103,33.92166667
1101113,1101107,44.63333333
1101113,1101112,36.54166667
1101115,1101120,16.81333333
1101115,1101123,7.265
