src_SA1_7DIG16,nbr_SA1_7DIG16,LENGTH,Inverse Times,Inverse Distance
2100101,2100106,0.003877267365554,0.5244755244755245,0.19916467125161513
2100101,2100109,0.004199177655907001,0.5093378607809849,0.18677950391662793
2100101,2100114,0.0053156237062209994,0.262582056892779,0.20872209374135836
2100101,2100117,0.004095571132431,0.16220600162206,0.14713277553044674
2100102,2100106,0.001014170591002,0.4273504273504273,0.16412796310626168
2100102,2100112,0.002858553553983,0.3076923076923077,0.25931184193984247
2100102,2100114,0.004773136475581,0.4155124653739612,0.3149470124999766
2100105,2100107,0.0056326188536910005,0.42342978122794644,0.11454176158883196
2100105,2100108,0.010009254314893,0.26327336551118913,0.183539717246831
2100105,2100614,0.007261332032261998,0.30090270812437314,0.09126323919311871
2100106,2100108,0.004043775395202,0.24420024420024422,0.11876085954420845
2100106,2100109,0.004017247273683001,0.5976095617529881,0.15976385918412458
2100106,2100114,0.0012160546571330002,0.32555615843733043,0.11778585177753162
2100107,2100108,0.0031229823981590004,0.31430068098480884,0.1336336426111012
2100107,2100109,0.0019002105378239998,0.38095238095238093,0.13610417488876764
2100107,2100202,0.005977726898136,0.23612750885478156,0.14159763483130391
2100108,2100109,0.004952307806514,0.3504672897196262,0.10952840503998432
2100109,2100117,0.009003164787253999,0.1884422110552764,0.11090704834598002
2100110,2100111,0.006049000760561999,0.31331592689295035,0.3082567816928168
2100110,2100112,0.002665274239695,0.34443168771526983,0.1510166064121433
2100110,2100114,0.001402875257121,0.2047082906857727,0.12164878857953751
2100110,2100117,0.004235286110626,0.20154517971111857,0.08037351624145389
2100111,2100112,0.003525423187594001,0.5639097744360902,0.21609969030778045
2100111,2100113,0.0068008586373059995,0.3486345148169669,0.3280761493139585
2100112,2100113,0.0027697072094059996,0.29112081513828236,0.21008911177670925
2100112,2100114,0.004532780894505001,0.31982942430703626,0.25456558425354364
2100114,2100117,0.006833625584772,0.1305767138193689,0.14445361567514506
2100115,2101011,0.017409498353671,0.06138107416879795,0.011854838999785488
2100117,2100201,0.009960729648412,0.11389521640091117,0.14249260955330817
