src_SA1_7DIG16,nbr_SA1_7DIG16,LENGTH,Inverse Times,Inverse Distance
1102802,1102804,0.004516952715997,0.24086712161855744,0.14677175481128385
1102802,1102805,0.009575314887916,0.17533606079341532,0.19955026767757872
1102802,1102808,0.002121459490101,0.13989274889903908,0.1293103049927084
1102802,1102817,0.009227821450696,0.3201707577716297,0.11097858757540212
1102802,1103407,0.00193589127552,0.21344717182497333,0.05830819707415276
1102802,1103408,0.017716881841994,0.1451729978294301,0.06785275994960938
1102803,1102804,0.001233675388721,0.2901353964903158,0.15183460299455712
1102803,1102807,0.003973723400423,0.2628120893561104,0.09916159543493276
1102803,1102809,0.007818172260659999,0.3809523809523809,0.1356250060933009
1102803,1103926,0.001460713849049,0.08020318141430376,0.08213681671006427
1102804,1102802,0.004516952715997,0.2140563681616799,0.14677175481128385
1102804,1102803,0.001233675388721,0.2578427159654356,0.15183460299455714
1102804,1102805,0.001336460181927,0.6444683135027995,0.1940830875512809
1102804,1102806,0.0034607708374240005,0.5633802816901409,0.15926735974306255
1102804,1102808,0.0014212608360679995,0.33370411564697394,0.14997160999139705
1102804,1102817,0.0034859717416209995,0.9933774831147756,0.13780509432039215
1102805,1102802,0.009575314887916,0.16308779558776365,0.19955026767757872
1102805,1102804,0.001336460181927,0.6849315068493149,0.1940830875512809
1102805,1102808,0.007335970380555,0.2635046113306983,0.3593444116323661
1102806,1102804,0.0034607708374240005,0.5940594060582295,0.15926735974306255
1102806,1102808,0.004116973643602,0.34423407917383825,0.22136793775234745
1102806,1102809,0.007359216803905,0.4559270517410223,0.23373415519417445
1102806,1102818,0.00028471515869300004,0.16120365395815173,0.14462952391522196
1102806,1103408,0.007619655048681,0.13183915622940012,0.05763139955324913
1102807,1102803,0.003973723400423,0.25263157896864263,0.09916159543493276
1102807,1102809,0.00380997228862,0.1799100449883005,0.14650976231048124
1102807,1102812,0.004239380932888,0.1597869507408675,0.10279222162256654
1102807,1102816,0.008612830383818,0.11025358324145534,0.08565693912114265
1102807,1102818,0.0070403524666140015,0.18495684339180288,0.1934327183456814
1102808,1102802,0.002121459490101,0.13178124314218234,0.1293103049927084
1102808,1102804,0.0014212608360679995,0.3428571428179592,0.14997160999139705
1102808,1102805,0.007335970380555,0.2700270027245749,0.3593444116323661
1102808,1102806,0.004116973643602,0.33039647573453784,0.22136793775234745
1102808,1103408,0.0058251929222920005,0.10743061772989904,0.07584214896042804
1102809,1102803,0.007818172260659999,0.3594967045704617,0.1356250060933009
