"SA1_id","vote_pc"
"1110841",".622637"
"1136316",".562970"
"1138737",".678778"
"1153019",".338089"
"1114524",".626635"
"1105608",".569686"
"1116953",".381573"
"1100115",".423873"
"1140029",".369597"
"1149007",".558767"
"1148137",".629344"
"1149622",".330567"
"1114517",".626928"
"1147822",".561345"
"1106604",".315019"
"1146022",".511132"
"1145411",".533260"
"1104054",".514623"
"1136221",".668092"
"1102905",".500739"
"1113011",".635596"
"1109313",".310255"
"1125640",".315131"
"1109713",".633145"
"1111808",".654305"
"1104612",".600584"
"1137301",".487246"
"1110310",".293751"
"1127219",".484650"
"1121826",".606406"
"1125637",".322645"
"1152341",".668398"
"1118516",".268747"
"1148417",".665322"
"1136232",".689858"
"1127711",".492676"
"1132626",".652649"
"1151130",".706454"
"1131110",".571347"
"1152413",".434140"
"1144606",".377934"
"1135737",".698005"
"1102412",".477462"
"1153264",".413939"
"1113919",".477920"
"1100303",".520996"
"1141701",".366928"
"1106201",".347793"
"1133311",".627487"
"1113714",".710098"
"1141117",".275113"
"1101208",".558113"
"1144121",".593839"
"1138640",".438234"
"1149717",".400358"
"1136008",".520577"
"1139411",".670345"
"1125909",".304162"
"1134918",".585810"
"1142631",".345264"
"1145325",".620852"
"1105005",".585670"
"1100509",".351188"
"1104204",".511105"
"1135326",".698446"
"1134355",".290430"
"1113148",".708687"
"1107501",".545337"
"1131310",".715921"
"1100131",".421965"
"1150509",".568269"
"1120614",".585352"
"1129038",".321760"
"1149609",".336008"
"1102016",".545380"
"1102020",".541569"
"1111238",".565691"
"1112306",".395377"
"1121408",".561760"
"1105906",".387529"
"1144723",".384717"
"1149558",".392496"
"1101513",".528222"
"1100112",".437412"
"1132914",".635483"
"1153130",".327034"
"1119610",".231335"
"1131402",".700555"
"1126205",".533237"
"1111233",".615252"
"1146430",".512819"
"1143626",".617545"
"1142308",".344355"
"1152509",".708118"
"1133240",".662155"
"1121401",".577888"
"1153120",".337862"
"1153303",".418163"
"1117206",".329248"
"1141319",".357708"
"1110517",".310035"
"1126915",".362575"
"1146711",".418789"
"1151316",".710417"
"1139721",".451801"
"1149916",".357096"
"1147324",".461850"
"1103238",".470581"
"1110314",".345281"
"1131220",".563668"
"1127303",".514126"
"1100821",".546566"
"1147415",".674082"
"1106021",".396201"
"1144349",".617050"
"1116812",".379613"
"1130042",".424599"
"1148232",".609871"
"1123324",".617357"
"1134405",".316248"
"1129322",".335561"
"1148847",".615113"
"1111903",".528033"
"1134317",".304595"
"1134022",".330886"
"1150836",".589612"
"1128422",".499110"
"1138735",".674766"
"1129906",".404906"
"1120930",".571716"
"1148255",".603783"
"1130931",".567310"
"1138914",".666209"
"1102620",".501799"
"1151112",".733636"
"1139438",".677994"
"1138633",".427894"
"1120952",".609421"
"1103412",".489019"
"1129815",".301757"
"1130235",".288886"
"1121816",".586451"
"1121525",".646581"
"1103230",".497317"
"1136607",".704109"
"1137450",".466178"
"1136005",".496937"
"1137501",".571259"
"1130519",".682247"
"1151506",".712829"
"1130031",".443806"
"1124930",".534225"
"1107209",".365676"
"1134929",".578413"
"1145803",".520518"
"1102713",".518696"
"1144038",".620506"
"1139012",".682128"
"1149332",".610753"
"1111907",".513344"
"1109618",".350635"
"1135735",".686770"
"1102201",".560913"
"1153604",".420459"
"1127843",".506665"
"1132228",".607881"
"1115112",".374027"
"1147805",".558471"
"1124017",".580018"
"1129354",".309566"
"1149713",".390898"
"1140554",".388258"
"1152525",".714758"
"1149301",".316787"
"1133213",".680999"
"1136816",".529750"
"1140824",".295792"
"1115101",".384486"
"1147305",".449590"
"1150405",".610922"
"1141220",".291857"
"1140218",".274696"
"1137635",".571324"
"1131306",".732575"
"1135808",".490213"
"1122002",".618220"
"1134944",".561839"
"1148119",".613459"
"1151531",".687046"
"1119507",".255612"
"1106002",".377444"
"1134902",".571858"
"1132645",".648342"
"1113901",".474196"
"1122307",".635446"
"1111106",".726698"
"1139337",".657999"
"1113034",".704533"
"1135351",".707581"
"1135426",".681718"
"1103007",".540782"
"1127724",".490530"
"1121321",".554932"
"1108231",".471267"
"1110021",".292326"
"1119722",".260249"
"1140310",".401658"
"1142611",".361992"
"1124023",".587086"
"1149626",".355271"
"1133140",".679608"
"1151518",".667553"
"1117816",".209081"
"1134531",".313947"
"1152215",".568218"
"1138032",".375401"
"1113005",".678908"
"1118011",".310859"
"1120842",".580197"
"1118512",".271649"
"1151543",".675215"
"1108242",".457971"
"1133417",".610212"
"1111215",".563390"
"1107707",".322107"
"1101815",".485620"
"1127017",".356546"
"1144613",".407986"
"1150820",".578132"
"1147423",".692098"
"1121106",".577591"
"1114448",".611144"
"1131940",".555812"
"1108004",".472953"
"1123116",".640313"
"1122821",".599778"
"1103706",".515918"
"1131412",".704818"
"1137535",".614471"
"1101120",".556389"
"1116214",".343684"
"1144604",".364984"
"1139711",".656754"
"1113129",".691298"
"1137529",".583484"
"1137120",".463375"
"1137506",".584454"
"1150116",".399101"
"1117512",".295364"
"1135153",".591971"
"1112119",".542691"
"1136341",".691682"
"1131703",".713158"
"1153312",".422287"
"1130115",".418186"
"1145416",".567287"
"1112122",".522831"
"1123608",".493979"
"1152659",".571424"
"1141135",".266854"
"1152856",".334214"
"1139008",".679444"
"1108227",".454738"
"1111540",".652555"
"1109116",".474888"
"1136523",".710197"
"1116237",".346687"
"1122318",".642842"
"1139334",".659893"
"1137701",".543229"
"1102404",".501828"
"1153806",".398464"
"1134338",".304219"
"1134111",".350200"
"1136454",".590860"
"1150216",".394615"
"1116901",".379258"
"1122432",".594952"
"1146619",".449761"
"1152209",".575786"
"1107424",".325113"
"1110823",".709893"
"1121712",".712846"
"1122701",".642815"
"1138328",".447210"
"1125424",".508741"
"1152721",".321070"
"1117521",".318716"
"1135948",".499033"
"1104414",".538421"
"1139147",".456089"
"1105024",".601497"
"1128718",".410826"
"1100429",".546128"
"1118502",".291202"
"1143212",".332525"
"1133929",".338468"
"1113219",".702052"
"1150408",".620941"
"1111402",".638853"
"1108212",".436898"
"1135130",".592176"
"1143632",".628579"
"1116710",".361485"
"1106312",".329379"
"1133632",".641576"
"1138122",".571401"
"1135146",".584401"
"1147701",".546535"
"1136204",".705763"
"1138834",".677410"
"1135116",".581547"
"1118504",".252675"
"1117408",".338298"
"1147649",".528651"
"1123628",".505619"
"1130327",".602501"
"1135234",".583072"
"1147102",".557046"
"1139833",".382232"
"1135718",".698196"
"1114941",".617198"
"1121603",".569051"
"1132921",".629761"
"1129141",".321431"
"1151214",".602228"
"1131924",".695669"
"1110834",".702335"
"1115017",".630759"
"1125802",".313302"
"1135009",".581965"
"1146043",".500056"
"1148407",".652924"
"1151413",".670621"
"1151145",".734792"
"1151007",".665314"
"1133431",".629313"
"1116247",".365137"
"1122534",".631913"
"1124206",".521597"
"1134342",".303816"
"1147220",".718942"
"1136135",".714343"
"1151501",".722712"
"1104124",".539696"
"1152322",".420780"
"1144601",".396387"
"1128605",".421802"
"1131201",".690272"
"1130842",".610036"
"1169999",".733215"
"1136326",".681773"
"1133735",".575858"
"1137709",".546448"
"1148910",".576545"
"1129310",".292952"
"1114643",".619634"
"1138903",".666666"
"1152428",".417249"
"1130807",".597675"
"1142721",".323545"
"1125901",".343521"
"1125814",".317497"
"1143151",".339236"
"1109921",".293617"
"1104016",".515458"
"1132648",".665631"
"1131701",".733739"
"1127904",".493387"
"1147104",".554225"
"1139933",".376856"
"1144212",".599362"
"1103510",".498501"
"1150124",".393835"
"1113806",".480926"
"1123733",".477830"
"1136412",".566561"
"1146716",".425935"
"1102019",".560618"
"1105705",".555165"
"1138829",".671054"
"1110718",".610166"
"1100901",".564465"
"1107411",".319730"
"1131709",".721833"
"1114501",".631976"
"1149314",".596485"
"1114202",".703953"
"1143516",".403890"
"1129120",".314380"
"1106804",".310012"
