"SA1_id","vote_pc"
"2101002","53.684888"
"3114511","46.110145"
"2116339","48.189601"
"3123705","45.816733"
"6108111","54.412356"
"2120936","52.155332"
"3122629","38.234403"
"3129707","56.427947"
"2138533","43.416516"
"4108025","64.041994"
"2140306","28.397328"
"2110701","46.788054"
"2136705","63.868711"
"3133414","61.023229"
"3141724","40.457998"
"3107703","51.700178"
"2119607","64.010370"
"2127710","42.687318"
"2119912","54.904818"
"5105958","47.073483"
"2102125","52.845070"
"2104026","60.233247"
"2126745","43.378232"
"3119216","38.882438"
"2110313","27.346843"
"4105307","60.046062"
"2139908","32.054670"
"3124715","35.071494"
"2111017","47.438323"
"3102115","48.530907"
"2123860","62.091917"
"3124441","33.320383"
"2129517","63.922670"
"3148201","49.512181"
"3148212","48.672933"
"2119310","50.813903"
"5109935","48.605079"
"5110320","47.210559"
"8104301","63.679356"
"5100623","39.960454"
"2134505","63.894203"
"3126115","35.718005"
"3124219","42.462879"
"3109209","49.621284"
"3141418","34.448292"
"5114032","44.776829"
"2117748","52.738810"
"3110002","43.260239"
"2116425","49.540237"
"4107213","69.025119"
"3129011","36.710340"
"2143020","40.413896"
"2128501","40.686293"
"3123827","38.107084"
"3125408","41.525827"
"4109626","47.609843"
"3116509","42.867944"
"3133511","58.243958"
"2123111","61.789034"
"8104717","61.621829"
"6100112","65.798082"
"4101906","48.787907"
"6108706","51.619534"
"2109528","46.673269"
"3132416","45.716247"
"5114005","42.754445"
"5122505","35.185717"
"3133402","62.811551"
"2127621","43.133525"
"3135002","50.218325"
"5114109","43.538072"
"2114734","34.622287"
"5109405","37.728658"
"3142626","37.788876"
"3103110","53.838188"
"3107317","59.306370"
"3112602","45.648204"
"3144627","36.460310"
"2139018","20.691358"
"3124311","37.724835"
"3110114","43.233174"
"5118017","36.331925"
"2100102","54.792277"
"2134820","70.024661"
"2136501","64.296228"
"2117712","53.289031"
"4102438","39.414860"
"3106215","46.511551"
"2134248","62.350936"
"6101510","35.621652"
"3137514","53.307231"
"5108523","51.011026"
"4102634","60.013701"
"2130703","45.443791"
"2117032","34.844324"
"2134205","69.865295"
"3119418","47.941822"
"2107625","40.541721"
"2109344","49.432525"
"3133007","71.113796"
"3133224","61.434206"
"5122818","37.489630"
"3131311","46.739239"
"4101140","41.527146"
"5118601","62.569064"
"3136504","52.488157"
"2137308","49.341535"
"3137407","53.414050"
"3129909","59.510885"
"3145504","36.561120"
"3111715","50.956927"
"3137824","47.364511"
"4101137","38.852485"
"2142617","43.248698"
"5113332","51.956521"
"3135918","44.437507"
"2110303","31.918208"
"3102209","48.174276"
"3108811","39.564511"
"5113135","35.563800"
"2123731","62.609323"
"2130723","47.466813"
"2128230","40.131139"
"2130541","64.464218"
"2129118","45.475178"
"2134222","68.799456"
"2108611","29.330794"
"3111511","52.367628"
"2130758","63.588100"
"2126206","37.435340"
"4111112","61.420071"
"5105717","62.471239"
"2132409","48.376928"
"5101205","39.842561"
"2119315","52.147699"
"3137809","48.094980"
"3139409","49.334824"
"6104211","57.901936"
"4107714","46.903193"
"2104301","62.083280"
"2119102","56.826678"
"2119117","53.106444"
"2138606","48.035505"
"2142113","39.747971"
"2142117","41.338184"
"5124609","31.518591"
"4105812","50.823565"
"2120008","55.278475"
"2104102","49.269482"
"3122501","38.301412"
"2126006","38.366061"
"8109003","58.196732"
"2131018","60.240235"
"2115110","38.159812"
"2114918","36.305532"
"4105713","42.877064"
"2104526","57.350144"
"2129407","47.874177"
"5118410","39.751933"
"3139304","49.170470"
"3146007","39.176675"
"2109532","46.680206"
"5100927","54.099042"
"2109015","43.231876"
"3101603","48.062459"
"5123711","32.505224"
"3147410","49.483002"
"3123418","38.850181"
"2127124","44.561558"
"5115923","55.281661"
"3137533","51.980230"
"3130411","57.232601"
"3131610","64.515148"
"5111409","61.405350"
"4107413","68.616529"
"5108121","38.760467"
"2110727","55.858795"
"2111130","45.604456"
"3104010","55.623012"
"5104818","52.307384"
"2134006","62.818870"
"3119318","52.670171"
"3106219","46.355634"
"3147615","50.576234"
"2120205","52.648784"
"5114118","42.143653"
"2128902","47.987441"
"3122411","33.264348"
"6108613","54.426938"
"3126635","33.532415"
"2100305","56.022312"
"6103606","57.461925"
"3106518","45.822538"
"2126731","43.475500"
"2137709","43.277163"
"8110308","56.796058"
"3147511","49.649955"
"2124154","56.991237"
"4111705","50.628508"
"2120238","52.452508"
"5108617","45.212349"
"3144428","37.826278"
"2105611","59.080918"
"3143506","37.641239"
"4104723","61.668048"
"2135507","68.247391"
"6109108","46.613731"
"5119508","31.586555"
"3130205","58.272026"
"2138312","43.750700"
"3120410","61.153423"
"2132716","46.626251"
"8109804","58.376844"
"5120015","35.056801"
"2115322","37.098088"
"5109602","27.514782"
"2127311","42.620506"
"5121713","37.535677"
"2130225","64.018705"
"5105949","48.972434"
"2137436","50.711290"
"2116803","34.567181"
"2122239","64.454277"
"5112904","32.955649"
"2134224","68.038107"
"4109117","51.660169"
"3127423","61.615534"
"2101104","54.409859"
"3129910","59.293027"
"3113514","45.511065"
"5119215","62.414323"
"3145320","37.579065"
"2114721","35.875383"
"3102601","49.472413"
"3138034","48.194472"
"8103301","60.752693"
"2126507","38.009333"
"3113225","44.211299"
"2130221","62.459700"
"5110104","46.836158"
"4109516","65.505874"
"3125618","38.244086"
"3124844","34.637201"
"3111010","52.997574"
"4101627","44.470005"
"2139753","32.779267"
"4111209","54.344459"
"5109206","36.852986"
"2109103","43.960339"
"2229999","52.112676"
"3124822","34.418865"
"3106603","45.143631"
"3103405","54.389933"
"2359999","62.504207"
"4109313","54.758815"
"2134110","68.102699"
"5105939","47.451446"
"5105628","52.377832"
"3141411","37.809578"
"5105426","48.839372"
"2111451","59.623528"
"3145133","37.445524"
"4100110","54.956890"
"2137718","44.358947"
"6106403","49.079654"
"3142119","39.133663"
"3110019","46.215450"
"5107215","36.267452"
"3147808","49.785500"
"5108123","39.210813"
"5114706","40.015420"
"2139716","32.480481"
"6104901","56.969930"
"2128601","42.761756"
"3121810","49.482163"
"5120508","52.947313"
"5101216","39.193510"
"2137311","50.534055"
"5119130","61.571475"
"8101108","61.101912"
"5107819","40.978849"
"6101008","60.957112"
"3111305","48.753540"
"4105814","50.271444"
"2139408","29.283947"
"2136534","64.540256"
"3108102","47.210739"
"3130914","46.609083"
"2126746","42.772065"
"2134438","68.490931"
"5114812","57.160059"
"3139311","50.967315"
"3145902","38.208754"
"2113032","50.641870"
"6108002","55.565181"
"2118835","51.574457"
"2125512","41.326701"
"2111628","54.993494"
"3143903","38.752854"
"2117322","36.666565"
"3108712","35.049079"
"3130617","49.697293"
"3141714","41.401487"
"2129424","47.976122"
"2108917","40.971662"
"3106618","46.057521"
"5108826","32.368513"
"3122510","37.962962"
"3132901","60.944915"
"5106503","42.385476"
"3124023","36.975706"
"2130704","64.590775"
"5113309","53.038244"
"2112825","52.236354"
"4105217","44.312175"
"3101313","40.894426"
"4102110","55.289475"
"3126209","36.754990"
"2138130","45.876110"
"2130537","64.853310"
"4104921","57.743583"
"4101702","50.058525"
"3101115","39.320482"
"2137406","49.861524"
"2133108","71.873898"
"5121306","37.907478"
"5104112","51.564259"
"3110419","48.482481"
"8110506","57.829116"
"5107310","43.419588"
"2109740","34.960479"
"3144629","36.652403"
"2128914","46.648015"
"3125314","33.971342"
"2135412","68.842697"
"5110847","49.270310"
"8110202","57.652906"
"2110414","33.334662"
"2117552","54.483052"
"3135714","46.966938"
"8107817","58.746071"
"3144912","35.916597"
"2115927","39.688155"
"3135719","50.152768"
"3137005","52.365203"
"3129322","58.507505"
"2127318","42.833951"
"3111815","49.852709"
"4104734","60.710208"
"2129207","44.614613"
"3101224","40.408103"
"3108610","39.179960"
"2125930","40.470268"
"4105509","59.839392"
"2123519","56.344814"
"3138828","50.383658"
"6103411","58.736754"
