,Origin,Destination,Time (min),Distance
0,2100101,2100106,1.9066666666666667,0.5020970806296503
1,2100101,2100109,1.9633333333333332,0.5353906499539512
2,2100101,2100114,3.808333333333333,0.4791059643351257
3,2100101,2100117,6.165,0.6796582178204517
4,2100102,2100106,2.3400000000000003,0.6092806984709657
5,2100102,2100112,3.25,0.38563607142630574
6,2100102,2100114,2.4066666666666667,0.31751372780526826
7,2100105,2100107,2.3616666666666664,0.8730440200401998
8,2100105,2100108,3.798333333333333,0.544841201130959
9,2100105,2100614,3.3233333333333333,1.0957314345198044
10,2100106,2100108,4.095,0.8420282606895012
11,2100106,2100109,1.6733333333333331,0.6259237884630218
12,2100106,2100114,3.0716666666666668,0.8489984025320401
13,2100107,2100108,3.181666666666666,0.7483145564700248
14,2100107,2100109,2.625,0.7347313194597145
15,2100107,2100202,4.235,0.7062264854857049
16,2100108,2100109,2.853333333333333,0.9130051694215223
17,2100109,2100117,5.306666666666667,0.9016559496565543
18,2100110,2100111,3.191666666666667,0.3244048661341431
19,2100110,2100112,2.9033333333333333,0.6621788316914461
20,2100110,2100114,4.885000000000002,0.8220386011868676
21,2100110,2100117,4.961666666666667,1.2441909309975347
22,2100111,2100112,1.7733333333333334,0.4627493906056727
23,2100111,2100113,2.868333333333333,0.30480728394645706
24,2100112,2100113,3.435,0.4759884943789178
25,2100112,2100114,3.1266666666666665,0.392826077779632
26,2100114,2100117,7.658333333333332,0.6922637383122712
27,2100115,2101011,16.291666666666668,8.435373943231914
28,2100117,2100201,8.78,0.7017907827885544
29,2100117,2100202,6.173333333333333,1.228827119618184
30,2100201,2100202,5.4300000000000015,0.794240676104866
31,2100201,2100203,2.9066666666666667,0.45960243936880907
32,2100201,2100204,4.7733333333333325,0.5954970743906954
33,2100202,2100203,3.5933333333333333,0.6012959581563906
34,2100202,2100208,4.1800000000000015,1.3748322610182904
35,2100203,2100204,3.67,0.3669564706568375
36,2100204,2100225,2.958333333333333,0.8599788288839518
37,2100205,2100211,3.9916666666666663,0.3812086013478597
38,2100205,2100214,3.5,0.6431224015916732
39,2100205,2100230,4.033333333333333,0.6296103779308356
40,2100205,2100424,3.2583333333333333,0.4851014954362135
41,2100205,2100427,3.0083333333333333,0.6593959931796778
42,2100206,2100207,10.618333333333334,0.5278869177758048
43,2100206,2100208,8.706666666666667,0.3885399095989261
44,2100206,2100211,10.156666666666666,0.5462084198189272
45,2100207,2100208,2.1516666666666664,0.7836361620634434
46,2100207,2100211,2.6133333333333337,0.39364556560327785
47,2100207,2100213,4.4300000000000015,0.5608283092025665
48,2100207,2100233,3.453333333333333,0.5708727306970106
49,2100208,2100212,2.7233333333333336,1.2014337872854464
50,2100208,2100222,2.99,1.2896658790498605
51,2100211,2100214,3.558333333333333,0.761566528620497
52,2100211,2100232,3.11,0.7287235435491956
53,2100212,2100217,2.4866666666666664,0.723540570540459
54,2100212,2100222,2.0933333333333333,0.33047886127964354
55,2100212,2100233,1.0733333333333337,0.24737896341715374
56,2100213,2100218,3.865,0.7026074361749635
57,2100213,2100232,2.935,0.23352072102651306
58,2100213,2100233,2.7550000000000003,0.24851428859197017
59,2100214,2100215,2.36,0.6263848754959501
60,2100214,2100230,0.725,0.23238221496664338
61,2100214,2100232,0.705,0.2331131361087971
62,2100215,2100216,3.8316666666666666,0.4115451193693555
63,2100215,2100230,2.773333333333333,0.6402760701868303
64,2100215,2100231,1.768333333333333,0.32387726490604574
65,2100215,2100426,1.9583333333333333,0.566777545178483
66,2100216,2100219,6.21,0.9241429411061673
67,2100216,2100407,4.375,0.4687360845697244
68,2100216,2100411,3.4066666666666667,0.6476262600042797
69,2100216,2100430,3.673333333333333,1.107435824322135
70,2100217,2100219,4.023333333333333,0.8060164341620245
71,2100217,2100220,1.855,0.4102610658745431
72,2100217,2100221,2.8483333333333336,0.6552473443555211
73,2100217,2100222,2.045,0.6812027017468688
74,2100217,2100226,1.1916666666666669,0.3809692035003178
75,2100217,2100227,2.2183333333333333,0.5914465629435446
76,2100218,2100219,3.2816666666666667,0.7227530222567184
77,2100218,2100226,0.6533333333333334,0.24858763987880222
78,2100218,2100231,0.53,0.2331019995226289
79,2100219,2100221,4.973333333333333,1.2145038447590362
80,2100219,2100226,2.865,0.6931203861529505
81,2100219,2100231,3.188333333333333,0.819333024760727
82,2100219,2100234,2.74,0.6259501586722762
83,2100219,2100303,4.881666666666666,0.8266105615320929
84,2100219,2100330,4.203333333333333,0.8473412863602
85,2100219,2100407,3.0683333333333334,0.8070721160180889
86,2100219,2100410,2.4833333333333334,0.5333721593505287
87,2100220,2100221,3.356666666666667,0.2671012226262351
88,2100220,2100227,2.3516666666666666,0.2579444828684428
89,2100221,2100224,2.6416666666666666,0.9131116888767034
90,2100221,2100227,2.703333333333333,0.3620016805042666
91,2100221,2100323,5.033333333333333,0.8859753193908957
92,2100221,2100330,2.958333333333333,0.5910459028422755
93,2100221,2100331,2.8916666666666666,0.3746191980711888
94,2100222,2100223,2.286666666666666,0.5087242781798376
95,2100222,2100227,1.7983333333333331,0.5449875832271537
96,2100223,2100224,2.086666666666667,0.5861699381616199
97,2100223,2100227,3.155,0.327932578756214
98,2100224,2100227,2.786666666666666,0.7955639960773745
99,2100224,2100229,0.88,0.49072983587319563
100,2100224,2100323,4.89,0.5501366050366732
101,2100225,2100228,1.495,0.667769780499562
102,2100225,2100824,4.223333333333334,0.6101533569872509
103,2100225,2100825,5.778333333333332,0.5741681848981769
104,2100226,2100233,2.1266666666666665,0.7042894408343857
105,2100228,2100229,1.49,0.7903569501008924
